PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
21684,JALANDHAR,11 kv Syndicate(FL29),Permit Request Submitted (Permit not active),2026-07-17T10:55:49Z,2026-07-17T10:54:00Z
21683,GURDASPUR,Tharial(FL5),Permit Request Submitted (Permit not active),2026-07-17T10:53:56Z,2026-07-17T10:53:00Z
21682,KAPURTHALA,UPS KACHI SARAI KHAS(FL11),Approved/ Active Permit,2026-07-17T10:38:58Z,2026-07-17T10:37:00Z
21681,GURDASPUR,"Shalla Urban(FL04), Chawa(FL05)",Approved/ Active Permit,2026-07-17T10:35:51Z,2026-07-17T10:33:00Z
21680,KAPURTHALA,UPS MALLIWAL(FL16),Approved/ Active Permit,2026-07-17T10:31:59Z,2026-07-17T10:29:00Z
21679,SANGRUR,City-II(FL13),Approved/ Active Permit,2026-07-17T10:31:52Z,2026-07-17T10:30:00Z
21678,JALANDHAR,NEW PIONEER SPORTS(FL02),Active But Cancellation Request Submitted,2026-07-17T10:21:41Z,2026-07-17T10:21:00Z
21677,CITY AMRITSAR,SANT AVENUE(FL19),Cancellation Request Approved (Permit not active),2026-07-17T10:18:04Z,2026-07-17T10:17:00Z
21676,KHANNA,jagat colony(FL25),Approved/ Active Permit,2026-07-17T10:12:46Z,2026-07-17T10:11:00Z
21675,ROPAR,Gobind Valley(FL23),Permit Request Submitted (Permit not active),2026-07-17T10:11:58Z,2026-07-17T10:10:00Z
21674,MUKATSAR,"11 KV KANDHWALA Road Urban(FL10), 11 KV SIDHU NAGRI(FL05), 11 KV NAI ABADI(FL04)",Cancellation Request Approved (Permit not active),2026-07-17T10:10:35Z,2026-07-17T10:10:00Z
21673,ROPAR,Gobind Valley(FL23),Permit Request Submitted (Permit not active),2026-07-17T10:07:16Z,2026-07-17T10:03:00Z
21672,SANGRUR,11 KV NAVA BAZAR C-1(FL-2),Cancellation Request Approved (Permit not active),2026-07-17T10:04:45Z,2026-07-17T10:01:00Z
21671,SANGRUR,DEHLA(FL03),Approved/ Active Permit,2026-07-17T09:44:25Z,2026-07-17T09:43:00Z
21670,PATIALA,Rorewal(FL03),Cancellation Request Approved (Permit not active),2026-07-17T09:37:26Z,2026-07-17T09:36:00Z
21669,MUKATSAR,11 KV GANGA NAGAR ROAD(FL01),Cancellation Request Approved (Permit not active),2026-07-17T09:27:57Z,2026-07-17T09:27:00Z
21668,JALANDHAR,BOMBAY NAGAR(FL10),Cancellation Request Approved (Permit not active),2026-07-17T09:25:17Z,2026-07-17T09:24:00Z
21667,PATIALA,SARHIND ROAD(FL08),Cancellation Request Approved (Permit not active),2026-07-17T09:24:56Z,2026-07-17T09:24:00Z
21666,JALANDHAR,RANDHAWA MASANDA(FL04),Cancellation Request Approved (Permit not active),2026-07-17T09:23:02Z,2026-07-17T09:22:00Z
21665,KHANNA,Salani(FL05),Approved/ Active Permit,2026-07-17T09:23:01Z,2026-07-17T09:19:00Z
21664,HOSHIARPUR,FATEHGARH(FL01),Cancellation Request Approved (Permit not active),2026-07-17T09:18:00Z,2026-07-17T09:17:00Z
21663,MUKATSAR,"11 KV Alamgarh(FL03), 11 KV KIKKER KHERA(FL08)",Cancellation Request Approved (Permit not active),2026-07-17T09:06:48Z,2026-07-17T09:05:00Z
21662,Zirakpur,LALRU MANDI(FL12),Cancellation Request Approved (Permit not active),2026-07-17T09:02:38Z,2026-07-17T09:01:00Z
21661,JALANDHAR,BASANT HILLS(FL10),Cancellation Request Approved (Permit not active),2026-07-17T08:44:51Z,2026-07-17T08:44:00Z
21660,KAPURTHALA,Railway Station(FL13),Cancellation Request Approved (Permit not active),2026-07-17T08:40:05Z,2026-07-17T08:38:00Z
21659,GURDASPUR,HABIBPUR(FL08),Cancellation Request Approved (Permit not active),2026-07-17T08:35:14Z,2026-07-17T08:34:00Z
21658,FARIDKOT,Zira Road(FL03),Cancellation Request Approved (Permit not active),2026-07-17T08:05:38Z,2026-07-17T08:04:00Z
21657,KHANNA,Salani(FL05),Cancellation Request Approved (Permit not active),2026-07-17T07:40:41Z,2026-07-17T07:38:00Z
21656,NAWANSHAHR,TEHSIL COMPLEX GSR(FL16),Cancellation Request Approved (Permit not active),2026-07-17T07:40:21Z,2026-07-17T07:39:00Z
21655,MUKATSAR,"11 KV Danewala AP(FL06), New Patrewala UPS(FL05)",Cancellation Request Approved (Permit not active),2026-07-17T07:04:06Z,2026-07-17T07:02:00Z
21654,NAWANSHAHR,GNA-II(FL02),Cancellation Request Approved (Permit not active),2026-07-17T05:48:15Z,2026-07-17T05:47:00Z
21653,PATIALA,Jain Ice(FL11),Cancellation Request Approved (Permit not active),2026-07-17T03:58:02Z,2026-07-17T03:56:00Z
21652,NAWANSHAHR,CITY GARHSHANKAR(FL06),Cancellation Request Approved (Permit not active),2026-07-17T01:58:19Z,2026-07-17T01:57:00Z
21651,KHANNA,Bhattian(FL08),Cancellation Request Approved (Permit not active),2026-07-17T01:41:52Z,2026-07-17T01:41:00Z
21650,Zirakpur,"LALRU MANDI(FL12), BPCL(FL31)",Cancellation Request Approved (Permit not active),2026-07-16T23:43:46Z,2026-07-16T23:41:00Z
21649,GURDASPUR,City-1(FLO1),Cancellation Request Approved (Permit not active),2026-07-16T23:41:33Z,2026-07-16T23:40:00Z
21648,JALANDHAR,PREET NAGAR(FL07),Cancellation Request Approved (Permit not active),2026-07-16T23:35:47Z,2026-07-16T23:34:00Z
21647,PATIALA,JANDOLI(FL11),Permit Request Submitted (Permit not active),2026-07-16T22:05:26Z,2026-07-16T22:05:00Z
21646,MUKATSAR,11 KV South Avenue(FL01),Cancellation Request Approved (Permit not active),2026-07-16T21:14:27Z,2026-07-16T21:13:00Z
21645,Zirakpur,DAPPAR(FL16),Cancellation Request Approved (Permit not active),2026-07-16T21:11:06Z,2026-07-16T21:10:00Z
21644,HOSHIARPUR,Salwara(New),Cancellation Request Approved (Permit not active),2026-07-16T21:02:27Z,2026-07-16T21:00:00Z
21643,JALANDHAR,CANAL(FL11),Cancellation Request Approved (Permit not active),2026-07-16T19:18:31Z,2026-07-16T19:17:00Z
21642,Zirakpur,"LALRU CITY(FL22), Hasanpur UPS(FL24), Dehar. Cat. 1(FL21)",Cancellation Request Approved (Permit not active),2026-07-16T18:48:36Z,2026-07-16T18:48:00Z
21641,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-07-16T18:47:11Z,2026-07-16T18:46:00Z
21640,JALANDHAR,Shivaji Nagar(FL09),Cancellation Request Approved (Permit not active),2026-07-16T18:01:25Z,2026-07-16T17:53:00Z
21639,FARIDKOT,Dutt Road(FL04),Cancellation Request Approved (Permit not active),2026-07-16T18:00:40Z,2026-07-16T18:00:00Z
21638,KHANNA,Patiala Road(FL14),Cancellation Request Approved (Permit not active),2026-07-16T17:33:19Z,2026-07-16T17:32:00Z
21637,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-07-16T17:25:04Z,2026-07-16T17:24:00Z
21636,JALANDHAR,VIP(FL15),Cancellation Request Approved (Permit not active),2026-07-16T17:23:46Z,2026-07-16T17:23:00Z
21635,KHANNA,ghunder(fl17),Cancellation Request Approved (Permit not active),2026-07-16T16:50:14Z,2026-07-16T16:49:00Z
21634,GURDASPUR,City Ptk.(FL03),Cancellation Request Approved (Permit not active),2026-07-16T16:49:37Z,2026-07-16T16:48:00Z
21633,SANGRUR,11KV UPS TOGAWAL(FL08),Cancellation Request Approved (Permit not active),2026-07-16T16:43:21Z,2026-07-16T16:42:00Z
21632,Zirakpur,DERABASSI URBAN II(FL19),Cancellation Request Approved (Permit not active),2026-07-16T16:40:35Z,2026-07-16T16:39:00Z
21631,SUB URBAN AMRITSAR,KOTLA SULTAN SINGH UPS(FL14),Cancellation Request Approved (Permit not active),2026-07-16T16:29:03Z,2026-07-16T16:28:00Z
21630,JALANDHAR,11KV Airport(FL17),Cancellation Request Approved (Permit not active),2026-07-16T16:25:27Z,2026-07-16T16:24:00Z
21629,JALANDHAR,DRAIN(FL06),Cancellation Request Approved (Permit not active),2026-07-16T16:24:53Z,2026-07-16T16:23:00Z
21628,SANGRUR,11 KV  SIDH BABA(FL08),Rejected BY SSA/SSO,2026-07-16T16:20:23Z,2026-07-16T16:18:00Z
21627,Zirakpur,DAPPAR(FL16),Cancellation Request Approved (Permit not active),2026-07-16T16:10:26Z,2026-07-16T16:06:00Z
21626,NAWANSHAHR,GNA-III(FL12),Cancellation Request Approved (Permit not active),2026-07-16T16:02:20Z,2026-07-16T16:01:00Z
21625,CITY AMRITSAR,11Kv New Ravi Dass Road(FL08),Cancellation Request Approved (Permit not active),2026-07-16T15:56:57Z,2026-07-16T15:55:00Z
21624,JALANDHAR,CANAL(FL11),Cancellation Request Approved (Permit not active),2026-07-16T15:42:38Z,2026-07-16T15:41:00Z
