outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1914188,West,FEROZPUR,BHAWARA AZAM SHAH,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914187,West,FEROZPUR,UPS DHIRA PATRA,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914186,West,FEROZPUR,JHAG GROUND,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914185,West,FEROZPUR,FATU WALA UPS,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914184,West,FEROZPUR,URBAN JHOKE HARI HAR,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914183,West,FEROZPUR,KASU BEGHU,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914182,West,FEROZPUR,URBAN MEHAMA,Planned,Active,2026-08-12T15:02:54Z,2026-08-12T19:33:54Z,271
1914181,West,FEROZPUR,MADHRE,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914180,West,FEROZPUR,BOP,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914179,West,FEROZPUR,Amritsari Gate,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914178,West,FEROZPUR,Police Line,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914177,West,FEROZPUR,UPS FEEDER,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914176,West,FEROZPUR,HABIB WALA,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914175,West,FEROZPUR,INDUSTRIAL,Planned,Active,2026-08-12T15:00:54Z,2026-08-12T19:32:54Z,272
1914196,West,FEROZPUR,kallu arain,Planned,Active,2026-08-12T15:00:44Z,2026-08-12T19:34:44Z,274
1914195,West,FEROZPUR,G-5,Planned,Active,2026-08-12T15:00:44Z,2026-08-12T19:34:44Z,274
1914194,West,FEROZPUR,NANAKSIR,Planned,Active,2026-08-12T15:00:44Z,2026-08-12T19:34:44Z,274
1914174,West,FEROZPUR,ARSONAL,Planned,Active,2026-08-12T15:00:32Z,2026-08-12T19:30:32Z,270
1914173,West,FEROZPUR,RINGMAIN B,Planned,Active,2026-08-12T15:00:32Z,2026-08-12T19:30:32Z,270
1914172,West,FEROZPUR,CIVIL HOSPITAL,Planned,Active,2026-08-12T15:00:32Z,2026-08-12T19:30:32Z,270
1914171,West,FEROZPUR,11 KV NAMAK MANDI,Planned,Active,2026-08-12T15:00:32Z,2026-08-12T19:30:32Z,270
1914170,West,FEROZPUR, P&T,Planned,Active,2026-08-12T15:00:32Z,2026-08-12T19:30:32Z,270
1914193,West,FEROZPUR,11 KV INDUSTRIAL,Planned,Active,2026-08-12T15:00:01Z,2026-08-12T19:33:01Z,273
1914192,West,FEROZPUR,TIBBI KALAN,Planned,Active,2026-08-12T15:00:01Z,2026-08-12T19:33:01Z,273
1914191,West,FEROZPUR,PEERU WALA,Planned,Active,2026-08-12T15:00:01Z,2026-08-12T19:33:01Z,273
1914190,West,FEROZPUR,LAKHA HAZI UPS,Planned,Active,2026-08-12T15:00:01Z,2026-08-12T19:33:01Z,273
1914189,West,FEROZPUR,TIBBI KHURD G-5,Planned,Active,2026-08-12T15:00:01Z,2026-08-12T19:33:01Z,273
1914201,West,FEROZPUR,11 KV RUHELA HAZI UPS,Planned,Active,2026-08-12T15:00:00Z,2026-08-12T19:30:00Z,270
1914209,Central,SUB URBAN LUDHIANA,CITY-5,Planned,Active,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,240
1914232,Central,KHANNA,Royal,Unplanned,Active,2026-08-12T09:33:00Z,2026-08-12T10:28:00Z,55
1914231,South,PATIALA,BSNL,Unplanned,Active,2026-08-12T09:10:44Z,2026-08-12T09:50:08Z,39
1914230,West,FEROZPUR,COURT FEEDER,Unplanned,Closed,2026-08-12T08:50:00Z,2026-08-12T09:22:00Z,32
1914229,Central,KHANNA,Charnarthal UPS,Planned,Active,2026-08-12T08:45:23Z,2026-08-12T10:00:00Z,74
1914228,North,JALANDHAR,NAKODER ROAD,Unplanned,Closed,2026-08-12T08:22:22Z,2026-08-12T08:35:36Z,13
1914227,East,Zirakpur,HLP,Unplanned,Closed,2026-08-12T07:11:00Z,2026-08-12T07:33:00Z,22
1914226,East,Zirakpur,HLP,Unplanned,Closed,2026-08-12T06:12:00Z,2026-08-12T06:57:00Z,45
1914225,Border,SUB URBAN AMRITSAR,UPS Jati Umra,Unplanned,Closed,2026-08-12T05:00:00Z,2026-08-12T06:40:00Z,100
1914224,West,FEROZPUR,RINGMAIN B,Unplanned,Closed,2026-08-12T02:35:00Z,2026-08-12T03:45:00Z,70
