outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1914344,Central,SUB URBAN LUDHIANA,CITY-5,Planned,Active,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,240
1914389,West,MUKATSAR,11 KV Chirag dhani,Planned,Active,2026-08-13T09:50:06Z,2026-08-13T11:30:21Z,100
1914385,Central,KHANNA,New Shanti Nagar,Unplanned,Active,2026-08-13T09:17:00Z,2026-08-13T10:24:00Z,67
1914384,Central,KHANNA,Royal,Unplanned,Active,2026-08-13T09:16:00Z,2026-08-13T10:38:00Z,82
1914380,West,FEROZPUR,INDUSTRIAL,Planned,Active,2026-08-13T08:32:00Z,2026-08-13T09:50:00Z,78
1914382,East,Zirakpur,Nadiali,Unplanned,Closed,2026-08-13T08:25:00Z,2026-08-13T08:59:00Z,34
1914379,South,SANGRUR,SARON 2,Unplanned,Active,2026-08-13T08:25:00Z,2026-08-13T10:00:00Z,95
1914381,East,Zirakpur,BEGAMPURA,Unplanned,Closed,2026-08-13T08:20:00Z,2026-08-13T08:43:00Z,23
1914378,West,MUKATSAR,DAULATPURA UPS,Unplanned,Active,2026-08-13T08:17:17Z,2026-08-13T08:47:26Z,30
1914377,West,FARIDKOT,MADAK ROAD,Unplanned,Closed,2026-08-13T07:45:46Z,2026-08-13T08:45:01Z,59
1914375,East,Zirakpur,Hasanpur UPS,Unplanned,Closed,2026-08-13T07:44:00Z,2026-08-13T08:42:00Z,58
1914374,North,JALANDHAR,BASANT HILLS,Unplanned,Active,2026-08-13T07:43:42Z,2026-08-13T07:59:10Z,15
1914373,East,Zirakpur,Nadiali,Unplanned,Closed,2026-08-13T07:28:00Z,2026-08-13T08:13:00Z,45
1914371,South,SANGRUR,Nwa Pind,Unplanned,Closed,2026-08-13T07:05:00Z,2026-08-13T09:00:00Z,115
1914372,West,FEROZPUR,AMAR TAKIS,Unplanned,Closed,2026-08-13T07:00:00Z,2026-08-13T07:50:00Z,50
1914376,South,SANGRUR,NANKIANA SAHIB,Unplanned,Closed,2026-08-13T06:18:00Z,2026-08-13T08:00:00Z,102
1914370,South,SANGRUR,Nwa Pind,Unplanned,Closed,2026-08-13T06:09:00Z,2026-08-13T06:52:00Z,43
1914369,South,SANGRUR,Fatehgarh Chhana,Unplanned,Closed,2026-08-13T00:30:00Z,2026-08-13T02:03:00Z,93
1914368,West,FEROZPUR,MADHRE,Unplanned,Closed,2026-08-13T00:21:00Z,2026-08-13T01:49:00Z,88
1914367,West,FEROZPUR,AMAR TAKIS,Planned,Closed,2026-08-13T00:19:00Z,2026-08-13T01:00:00Z,41
1914366,West,FEROZPUR,RINGMAIN B,Planned,Closed,2026-08-13T00:00:00Z,2026-08-13T01:20:00Z,80
1914365,West,FEROZPUR,INDUSTRIAL,Planned,Closed,2026-08-13T00:00:00Z,2026-08-13T00:32:00Z,32
1914364,North,JALANDHAR,PUNJABI BAGH,Unplanned,Closed,2026-08-12T23:54:00Z,2026-08-13T00:10:00Z,16
1914363,Border,GURDASPUR,Preet Nagar,Unplanned,Closed,2026-08-12T23:47:00Z,2026-08-13T00:23:00Z,36
1914362,Central,KHANNA,New Shanti Nagar,Unplanned,Active,2026-08-12T23:29:28Z,2026-08-13T00:35:59Z,66
1914361,East,ROPAR,COLD STORE,Unplanned,Closed,2026-08-12T23:19:00Z,2026-08-12T23:53:00Z,34
1914360,West,FEROZPUR,UPS FEEDER,Planned,Closed,2026-08-12T23:02:00Z,2026-08-13T00:00:00Z,58
1914359,East,ROPAR,Panjola,Unplanned,Closed,2026-08-12T22:45:00Z,2026-08-12T23:30:00Z,45
1914354,Border,GURDASPUR,Khanpur,Unplanned,Closed,2026-08-12T22:40:00Z,2026-08-12T23:20:00Z,40
1914352,West,FEROZPUR,ARSONAL,Planned,Closed,2026-08-12T22:00:00Z,2026-08-12T23:35:00Z,95
1914350,South,PATIALA,Jain Ice,Unplanned,Closed,2026-08-12T21:51:48Z,2026-08-12T22:46:08Z,54
1914349,East,Zirakpur,LALRU MANDI,Unplanned,Closed,2026-08-12T21:48:00Z,2026-08-12T21:59:00Z,11
1914348,West,FEROZPUR,HABIB WALA,Planned,Closed,2026-08-12T21:42:00Z,2026-08-12T23:04:00Z,82
1914351,South,PATIALA,11 KV RAI MAJRA,Unplanned,Closed,2026-08-12T21:30:00Z,2026-08-12T22:32:00Z,62
1914347,West,FEROZPUR,ARSONAL,Planned,Closed,2026-08-12T21:21:00Z,2026-08-12T21:35:00Z,14
1914346,East,Zirakpur,11 kv Japuria Feeder,Unplanned,Closed,2026-08-12T21:15:00Z,2026-08-12T22:09:00Z,54
1914345,East,Zirakpur,11 KV VICTORIA,Unplanned,Closed,2026-08-12T20:53:00Z,2026-08-12T21:42:00Z,49
1914342,West,FEROZPUR,MADHRE,Planned,Closed,2026-08-12T20:36:00Z,2026-08-12T21:41:00Z,65
1914343,East,Zirakpur,ASSTHA,Unplanned,Closed,2026-08-12T20:07:00Z,2026-08-12T20:17:00Z,10
1914339,Border,GURDASPUR,City Thana,Unplanned,Closed,2026-08-12T20:03:53Z,2026-08-12T20:40:12Z,36
