PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
23908,JALANDHAR,INDUSTRIAL AREA 1(FL14),Approved/ Active Permit,2026-08-26T08:54:58Z,2026-08-26T08:53:00Z
23907,PATIALA,11 KV RAI MAJRA(FL15),Cancellation Request Approved (Permit not active),2026-08-26T08:11:51Z,2026-08-26T08:11:00Z
23906,MUKATSAR,"11 KV KANDHWALA Road Urban(FL10), 11 KV NAI ABADI(FL04), 11 KV GANGA NAGAR ROAD(FL01), 11 KV SIDHU NAGRI(FL05)",Cancellation Request Approved (Permit not active),2026-08-26T07:55:00Z,2026-08-26T07:54:00Z
23905,GURDASPUR,City-2(FL04),Cancellation Request Approved (Permit not active),2026-08-26T06:44:58Z,2026-08-26T06:40:00Z
23904,MUKATSAR,"11 KV GANGA NAGAR ROAD(FL01), 11 KV SIDHU NAGRI(FL05), 11 KV KANDHWALA Road Urban(FL10), 11 KV NAI ABADI(FL04)",Cancellation Request Approved (Permit not active),2026-08-26T06:38:37Z,2026-08-26T06:37:00Z
23903,GURDASPUR,City-2(FL04),Cancellation Request Approved (Permit not active),2026-08-26T03:57:02Z,2026-08-26T03:56:00Z
23902,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-08-26T02:30:59Z,2026-08-26T02:30:00Z
23901,GURDASPUR,CITY AWANKHA(FL14),Cancellation Request Approved (Permit not active),2026-08-26T02:28:47Z,2026-08-26T02:28:00Z
23900,MUKATSAR,11 KV NAI ABADI(FL04),Cancellation Request Approved (Permit not active),2026-08-26T02:06:21Z,2026-08-26T02:05:00Z
23899,GURDASPUR,City-1(FLO1),Cancellation Request Approved (Permit not active),2026-08-26T01:19:10Z,2026-08-26T01:18:00Z
23898,SUB URBAN AMRITSAR,Guru AmarDass Avenue(FL07),Cancellation Request Approved (Permit not active),2026-08-26T01:09:28Z,2026-08-26T01:05:00Z
23897,GURDASPUR,City Thana(FL17),Cancellation Request Approved (Permit not active),2026-08-26T00:21:16Z,2026-08-26T00:20:00Z
23896,JALANDHAR,GURU AMAR DASS NAGAR(FL14),Cancellation Request Approved (Permit not active),2026-08-26T00:21:11Z,2026-08-26T00:19:00Z
23895,Zirakpur,11 KV PREM NAGAR FEEDER(FL29),Cancellation Request Approved (Permit not active),2026-08-26T00:05:13Z,2026-08-26T00:03:00Z
23894,SUB URBAN AMRITSAR,Sada Pind(FL03),Cancellation Request Approved (Permit not active),2026-08-25T23:36:08Z,2026-08-25T23:34:00Z
23893,KHANNA,DANA MANDI(FL07),Cancellation Request Approved (Permit not active),2026-08-25T23:17:25Z,2026-08-25T23:16:00Z
23892,PATIALA,Panjiri Plant(FL24),Cancellation Request Approved (Permit not active),2026-08-25T23:16:10Z,2026-08-25T23:15:00Z
23891,GURDASPUR,City-1(FLO1),Cancellation Request Approved (Permit not active),2026-08-25T23:07:21Z,2026-08-25T23:06:00Z
23890,SUB URBAN AMRITSAR,Sada Pind(FL03),Cancellation Request Approved (Permit not active),2026-08-25T22:53:40Z,2026-08-25T22:53:00Z
23889,GURDASPUR,City-1(FLO1),Permit Request Submitted (Permit not active),2026-08-25T22:25:12Z,2026-08-25T22:24:00Z
23888,MUKATSAR,"11 KV GANGA NAGAR ROAD(FL01), 11 KV Alamgarh(FL03)",Cancellation Request Approved (Permit not active),2026-08-25T22:19:40Z,2026-08-25T22:18:00Z
23887,GURDASPUR,City-1(FLO1),Permit Request Submitted (Permit not active),2026-08-25T22:01:17Z,2026-08-25T22:00:00Z
23886,GURDASPUR,City-1(FLO1),Permit Request Submitted (Permit not active),2026-08-25T21:59:04Z,2026-08-25T21:57:00Z
